Code département;Libellé département;Code commune;Libellé commune;Code BV;Inscrits;Votants;% Votants;Abstentions;% Abstentions;Exprimés;% Exprimés/inscrits;% Exprimés/votants;Blancs;% Blancs/inscrits;% Blancs/votants;Nuls;% Nuls/inscrits;% Nuls/votants;Numéro de panneau 1;Nuance candidat 1;Nom candidat 1;Prénom candidat 1;Sexe candidat 1;Voix 1;% Voix/inscrits 1;% Voix/exprimés 1;Elu 1;Numéro de panneau 2;Nuance candidat 2;Nom candidat 2;Prénom candidat 2;Sexe candidat 2;Voix 2;% Voix/inscrits 2;% Voix/exprimés 2;Elu 2;Numéro de panneau 3;Nuance candidat 3;Nom candidat 3;Prénom candidat 3;Sexe candidat 3;Voix 3;% Voix/inscrits 3;% Voix/exprimés 3;Elu 3;Numéro de panneau 4;Nuance candidat 4;Nom candidat 4;Prénom candidat 4;Sexe candidat 4;Voix 4;% Voix/inscrits 4;% Voix/exprimés 4;Elu 4;Numéro de panneau 5;Nuance candidat 5;Nom candidat 5;Prénom candidat 5;Sexe candidat 5;Voix 5;% Voix/inscrits 5;% Voix/exprimés 5;Elu 5;Numéro de panneau 6;Nuance candidat 6;Nom candidat 6;Prénom candidat 6;Sexe candidat 6;Voix 6;% Voix/inscrits 6;% Voix/exprimés 6;Elu 6;Numéro de panneau 7;Nuance candidat 7;Nom candidat 7;Prénom candidat 7;Sexe candidat 7;Voix 7;% Voix/inscrits 7;% Voix/exprimés 7;Elu 7;Numéro de panneau 8;Nuance candidat 8;Nom candidat 8;Prénom candidat 8;Sexe candidat 8;Voix 8;% Voix/inscrits 8;% Voix/exprimés 8;Elu 8;Numéro de panneau 9;Nuance candidat 9;Nom candidat 9;Prénom candidat 9;Sexe candidat 9;Voix 9;% Voix/inscrits 9;% Voix/exprimés 9;Elu 9;Numéro de panneau 10;Nuance candidat 10;Nom candidat 10;Prénom candidat 10;Sexe candidat 10;Voix 10;% Voix/inscrits 10;% Voix/exprimés 10;Elu 10;Numéro de panneau 11;Nuance candidat 11;Nom candidat 11;Prénom candidat 11;Sexe candidat 11;Voix 11;% Voix/inscrits 11;% Voix/exprimés 11;Elu 11;Numéro de panneau 12;Nuance candidat 12;Nom candidat 12;Prénom candidat 12;Sexe candidat 12;Voix 12;% Voix/inscrits 12;% Voix/exprimés 12;Elu 12;Numéro de panneau 13;Nuance candidat 13;Nom candidat 13;Prénom candidat 13;Sexe candidat 13;Voix 13;% Voix/inscrits 13;% Voix/exprimés 13;Elu 13;Numéro de panneau 14;Nuance candidat 14;Nom candidat 14;Prénom candidat 14;Sexe candidat 14;Voix 14;% Voix/inscrits 14;% Voix/exprimés 14;Elu 14;Numéro de panneau 15;Nuance candidat 15;Nom candidat 15;Prénom candidat 15;Sexe candidat 15;Voix 15;% Voix/inscrits 15;% Voix/exprimés 15;Elu 15;Numéro de panneau 16;Nuance candidat 16;Nom candidat 16;Prénom candidat 16;Sexe candidat 16;Voix 16;% Voix/inscrits 16;% Voix/exprimés 16;Elu 16;Numéro de panneau 17;Nuance candidat 17;Nom candidat 17;Prénom candidat 17;Sexe candidat 17;Voix 17;% Voix/inscrits 17;% Voix/exprimés 17;Elu 17;Numéro de panneau 18;Nuance candidat 18;Nom candidat 18;Prénom candidat 18;Sexe candidat 18;Voix 18;% Voix/inscrits 18;% Voix/exprimés 18;Elu 18;Numéro de panneau 19;Nuance candidat 19;Nom candidat 19;Prénom candidat 19;Sexe candidat 19;Voix 19;% Voix/inscrits 19;% Voix/exprimés 19;Elu 19
29;Finistère;29011;Bohars;1;997;787;78,94%;210;21,06%;776;77,83%;98,60%;8;0,80%;1,02%;3;0,30%;0,38%;1;ENS;BRÉHIER;Tristan;MASCULIN;172;17,25%;22,16%;;2;ECO;HENRY;Geneviève;FEMININ;14;1,40%;1,80%;;3;DVC;LARSONNEUR;Jean-Charles;MASCULIN;188;18,86%;24,23%;;4;LR;HOUARD;Françoise;FEMININ;19;1,91%;2,45%;;5;REC;ROUSSEAU;Alain;MASCULIN;5;0,50%;0,64%;;6;EXG;HITA;Melvyn;MASCULIN;4;0,40%;0,52%;;7;UG;CADALEN;Pierre-Yves;MASCULIN;223;22,37%;28,74%;;8;RN;KERVELLA;Denis;MASCULIN;144;14,44%;18,56%;;9;EXG;COLLARD;Rémy;MASCULIN;6;0,60%;0,77%;;10;EXD;KOFFI;Martial;MASCULIN;1;0,10%;0,13%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Finistère;29011;Bohars;2;894;701;78,41%;193;21,59%;690;77,18%;98,43%;6;0,67%;0,86%;5;0,56%;0,71%;1;ENS;BRÉHIER;Tristan;MASCULIN;155;17,34%;22,46%;;2;ECO;HENRY;Geneviève;FEMININ;13;1,45%;1,88%;;3;DVC;LARSONNEUR;Jean-Charles;MASCULIN;192;21,48%;27,83%;;4;LR;HOUARD;Françoise;FEMININ;24;2,68%;3,48%;;5;REC;ROUSSEAU;Alain;MASCULIN;2;0,22%;0,29%;;6;EXG;HITA;Melvyn;MASCULIN;4;0,45%;0,58%;;7;UG;CADALEN;Pierre-Yves;MASCULIN;153;17,11%;22,17%;;8;RN;KERVELLA;Denis;MASCULIN;146;16,33%;21,16%;;9;EXG;COLLARD;Rémy;MASCULIN;1;0,11%;0,14%;;10;EXD;KOFFI;Martial;MASCULIN;0;0,00%;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Finistère;29011;Bohars;3;927;710;76,59%;217;23,41%;695;74,97%;97,89%;9;0,97%;1,27%;6;0,65%;0,85%;1;ENS;BRÉHIER;Tristan;MASCULIN;168;18,12%;24,17%;;2;ECO;HENRY;Geneviève;FEMININ;18;1,94%;2,59%;;3;DVC;LARSONNEUR;Jean-Charles;MASCULIN;167;18,02%;24,03%;;4;LR;HOUARD;Françoise;FEMININ;20;2,16%;2,88%;;5;REC;ROUSSEAU;Alain;MASCULIN;2;0,22%;0,29%;;6;EXG;HITA;Melvyn;MASCULIN;0;0,00%;0,00%;;7;UG;CADALEN;Pierre-Yves;MASCULIN;147;15,86%;21,15%;;8;RN;KERVELLA;Denis;MASCULIN;172;18,55%;24,75%;;9;EXG;COLLARD;Rémy;MASCULIN;1;0,11%;0,14%;;10;EXD;KOFFI;Martial;MASCULIN;0;0,00%;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Finistère;29015;Bourg-Blanc;1;1114;877;78,73%;237;21,27%;840;75,40%;95,78%;16;1,44%;1,82%;21;1,89%;2,39%;1;DIV;COLINET;Annie;FEMININ;1;0,09%;0,12%;;2;ENS;LE GAC;Didier;MASCULIN;353;31,69%;42,02%;;3;RN;DONVAL;Martine;FEMININ;237;21,27%;28,21%;;4;UG;SMOLARZ;Pierre;MASCULIN;204;18,31%;24,29%;;5;EXG;MULLER;Matthieu;MASCULIN;15;1,35%;1,79%;;6;REC;PERROT;Ronan;MASCULIN;7;0,63%;0,83%;;7;DSV;THOMAS;Marie-Louise;FEMININ;14;1,26%;1,67%;;8;REG;FAVE;Hélène;FEMININ;9;0,81%;1,07%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Finistère;29015;Bourg-Blanc;2;1306;1025;78,48%;281;21,52%;960;73,51%;93,66%;30;2,30%;2,93%;35;2,68%;3,41%;1;DIV;COLINET;Annie;FEMININ;1;0,08%;0,10%;;2;ENS;LE GAC;Didier;MASCULIN;385;29,48%;40,10%;;3;RN;DONVAL;Martine;FEMININ;323;24,73%;33,65%;;4;UG;SMOLARZ;Pierre;MASCULIN;202;15,47%;21,04%;;5;EXG;MULLER;Matthieu;MASCULIN;10;0,77%;1,04%;;6;REC;PERROT;Ronan;MASCULIN;7;0,54%;0,73%;;7;DSV;THOMAS;Marie-Louise;FEMININ;18;1,38%;1,88%;;8;REG;FAVE;Hélène;FEMININ;14;1,07%;1,46%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Finistère;29017;Brélès;1;717;566;78,94%;151;21,06%;554;77,27%;97,88%;11;1,53%;1,94%;1;0,14%;0,18%;1;DIV;COLINET;Annie;FEMININ;0;0,00%;0,00%;;2;ENS;LE GAC;Didier;MASCULIN;252;35,15%;45,49%;;3;RN;DONVAL;Martine;FEMININ;150;20,92%;27,08%;;4;UG;SMOLARZ;Pierre;MASCULIN;108;15,06%;19,49%;;5;EXG;MULLER;Matthieu;MASCULIN;9;1,26%;1,62%;;6;REC;PERROT;Ronan;MASCULIN;6;0,84%;1,08%;;7;DSV;THOMAS;Marie-Louise;FEMININ;9;1,26%;1,62%;;8;REG;FAVE;Hélène;FEMININ;20;2,79%;3,61%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Finistère;29019;Brest;1;910;653;71,76%;257;28,24%;628;69,01%;96,17%;25;2,75%;3,83%;0;0,00%;0,00%;1;DIV;COLINET;Annie;FEMININ;6;0,66%;0,96%;;2;ENS;LE GAC;Didier;MASCULIN;207;22,75%;32,96%;;3;RN;DONVAL;Martine;FEMININ;151;16,59%;24,04%;;4;UG;SMOLARZ;Pierre;MASCULIN;220;24,18%;35,03%;;5;EXG;MULLER;Matthieu;MASCULIN;6;0,66%;0,96%;;6;REC;PERROT;Ronan;MASCULIN;7;0,77%;1,11%;;7;DSV;THOMAS;Marie-Louise;FEMININ;10;1,10%;1,59%;;8;REG;FAVE;Hélène;FEMININ;21;2,31%;3,34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Finistère;29019;Brest;2;902;654;72,51%;248;27,49%;633;70,18%;96,79%;21;2,33%;3,21%;0;0,00%;0,00%;1;DIV;COLINET;Annie;FEMININ;1;0,11%;0,16%;;2;ENS;LE GAC;Didier;MASCULIN;205;22,73%;32,39%;;3;RN;DONVAL;Martine;FEMININ;157;17,41%;24,80%;;4;UG;SMOLARZ;Pierre;MASCULIN;214;23,73%;33,81%;;5;EXG;MULLER;Matthieu;MASCULIN;6;0,67%;0,95%;;6;REC;PERROT;Ronan;MASCULIN;10;1,11%;1,58%;;7;DSV;THOMAS;Marie-Louise;FEMININ;15;1,66%;2,37%;;8;REG;FAVE;Hélène;FEMININ;25;2,77%;3,95%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Finistère;29019;Brest;3;879;634;72,13%;245;27,87%;618;70,31%;97,48%;16;1,82%;2,52%;0;0,00%;0,00%;1;DIV;COLINET;Annie;FEMININ;8;0,91%;1,29%;;2;ENS;LE GAC;Didier;MASCULIN;215;24,46%;34,79%;;3;RN;DONVAL;Martine;FEMININ;151;17,18%;24,43%;;4;UG;SMOLARZ;Pierre;MASCULIN;204;23,21%;33,01%;;5;EXG;MULLER;Matthieu;MASCULIN;10;1,14%;1,62%;;6;REC;PERROT;Ronan;MASCULIN;4;0,46%;0,65%;;7;DSV;THOMAS;Marie-Louise;FEMININ;3;0,34%;0,49%;;8;REG;FAVE;Hélène;FEMININ;23;2,62%;3,72%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Finistère;29019;Brest;4;896;624;69,64%;272;30,36%;607;67,75%;97,28%;17;1,90%;2,72%;0;0,00%;0,00%;1;DIV;COLINET;Annie;FEMININ;3;0,33%;0,49%;;2;ENS;LE GAC;Didier;MASCULIN;230;25,67%;37,89%;;3;RN;DONVAL;Martine;FEMININ;148;16,52%;24,38%;;4;UG;SMOLARZ;Pierre;MASCULIN;188;20,98%;30,97%;;5;EXG;MULLER;Matthieu;MASCULIN;3;0,33%;0,49%;;6;REC;PERROT;Ronan;MASCULIN;9;1,00%;1,48%;;7;DSV;THOMAS;Marie-Louise;FEMININ;4;0,45%;0,66%;;8;REG;FAVE;Hélène;FEMININ;22;2,46%;3,62%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
