"Code département";"Libellé département";"Code commune";"Libellé commune";"Code BV";Inscrits;Votants;"% Votants";Abstentions;"% Abstentions";Exprimés;"% Exprimés/inscrits";"% Exprimés/votants";Blancs;"% Blancs/inscrits";"% Blancs/votants";Nuls;"% Nuls/inscrits";"% Nuls/votants";"Numéro de panneau 1";"Nuance candidat 1";"Nom candidat 1";"Prénom candidat 1";"Sexe candidat 1";"Voix 1";"% Voix/inscrits 1";"% Voix/exprimés 1";"Elu 1";"Numéro de panneau 2";"Nuance candidat 2";"Nom candidat 2";"Prénom candidat 2";"Sexe candidat 2";"Voix 2";"% Voix/inscrits 2";"% Voix/exprimés 2";"Elu 2";"Numéro de panneau 3";"Nuance candidat 3";"Nom candidat 3";"Prénom candidat 3";"Sexe candidat 3";"Voix 3";"% Voix/inscrits 3";"% Voix/exprimés 3";"Elu 3";"Numéro de panneau 4";"Nuance candidat 4";"Nom candidat 4";"Prénom candidat 4";"Sexe candidat 4";"Voix 4";"% Voix/inscrits 4";"% Voix/exprimés 4";"Elu 4"
"29";Finistère;"29011";Bohars;"0001";997;779;"78,13%";218;"21,87%";770;"77,23%";"98,84%";5;"0,50%";"0,64%";4;"0,40%";"0,51%";3;DVC;LARSONNEUR;"Jean-Charles";MASCULIN;363;"36,41%";"47,14%";;7;UG;CADALEN;"Pierre-Yves";MASCULIN;260;"26,08%";"33,77%";élu;8;RN;KERVELLA;Denis;MASCULIN;147;"14,74%";"19,09%";;;;;;;;;;
"29";Finistère;"29011";Bohars;"0002";894;701;"78,41%";193;"21,59%";689;"77,07%";"98,29%";12;"1,34%";"1,71%";0;"0,00%";"0,00%";3;DVC;LARSONNEUR;"Jean-Charles";MASCULIN;360;"40,27%";"52,25%";;7;UG;CADALEN;"Pierre-Yves";MASCULIN;174;"19,46%";"25,25%";élu;8;RN;KERVELLA;Denis;MASCULIN;155;"17,34%";"22,50%";;;;;;;;;;
"29";Finistère;"29011";Bohars;"0003";927;712;"76,81%";215;"23,19%";703;"75,84%";"98,74%";8;"0,86%";"1,12%";1;"0,11%";"0,14%";3;DVC;LARSONNEUR;"Jean-Charles";MASCULIN;352;"37,97%";"50,07%";;7;UG;CADALEN;"Pierre-Yves";MASCULIN;176;"18,99%";"25,04%";élu;8;RN;KERVELLA;Denis;MASCULIN;175;"18,88%";"24,89%";;;;;;;;;;
"29";Finistère;"29015";"Bourg-Blanc";"0001";1114;859;"77,11%";255;"22,89%";811;"72,80%";"94,41%";36;"3,23%";"4,19%";12;"1,08%";"1,40%";2;ENS;"LE GAC";Didier;MASCULIN;540;"48,47%";"66,58%";élu;3;RN;DONVAL;Martine;FEMININ;271;"24,33%";"33,42%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29015";"Bourg-Blanc";"0002";1306;1016;"77,79%";290;"22,21%";977;"74,81%";"96,16%";29;"2,22%";"2,85%";10;"0,77%";"0,98%";2;ENS;"LE GAC";Didier;MASCULIN;628;"48,09%";"64,28%";élu;3;RN;DONVAL;Martine;FEMININ;349;"26,72%";"35,72%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29017";Brélès;"0001";717;557;"77,68%";160;"22,32%";522;"72,80%";"93,72%";30;"4,18%";"5,39%";5;"0,70%";"0,90%";2;ENS;"LE GAC";Didier;MASCULIN;359;"50,07%";"68,77%";élu;3;RN;DONVAL;Martine;FEMININ;163;"22,73%";"31,23%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0001";911;651;"71,46%";260;"28,54%";611;"67,07%";"93,86%";40;"4,39%";"6,14%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;450;"49,40%";"73,65%";élu;3;RN;DONVAL;Martine;FEMININ;161;"17,67%";"26,35%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0002";902;669;"74,17%";233;"25,83%";629;"69,73%";"94,02%";40;"4,43%";"5,98%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;431;"47,78%";"68,52%";élu;3;RN;DONVAL;Martine;FEMININ;198;"21,95%";"31,48%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0003";879;631;"71,79%";248;"28,21%";592;"67,35%";"93,82%";39;"4,44%";"6,18%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;432;"49,15%";"72,97%";élu;3;RN;DONVAL;Martine;FEMININ;160;"18,20%";"27,03%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0004";896;609;"67,97%";287;"32,03%";567;"63,28%";"93,10%";42;"4,69%";"6,90%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;411;"45,87%";"72,49%";élu;3;RN;DONVAL;Martine;FEMININ;156;"17,41%";"27,51%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0005";990;700;"70,71%";290;"29,29%";642;"64,85%";"91,71%";58;"5,86%";"8,29%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;452;"45,66%";"70,40%";élu;3;RN;DONVAL;Martine;FEMININ;190;"19,19%";"29,60%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0006";848;527;"62,15%";321;"37,85%";480;"56,60%";"91,08%";47;"5,54%";"8,92%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;301;"35,50%";"62,71%";élu;3;RN;DONVAL;Martine;FEMININ;179;"21,11%";"37,29%";;;;;;;;;;;;;;;;;;;
